# Sandbox Data | Context: 100 | Index: 3 | Label: {/:Italic {/Symbol {/:Italic s}}}_{3} = sigc-200 kPa
# Column_1: X_Axis	Column_2: Y_Axis
0.000000	0.000000
0.000022	0.112252
0.000044	0.225063
0.000065	0.338580
0.000086	0.452949
0.000107	0.568318
0.000128	0.684834
0.000148	0.802644
0.000167	0.921894
0.000186	1.042733
0.000205	1.165306
0.000223	1.289762
0.000240	1.416246
0.000256	1.544906
0.000272	1.675890
0.000287	1.809344
0.000301	1.945415
0.000314	2.084250
0.000326	2.225997
0.000337	2.370802
0.000347	2.518812
0.000355	2.670175
0.000363	2.825037
0.000370	2.984134
0.000375	3.147914
0.000380	3.315894
0.000385	3.487590
0.000389	3.662520
0.000392	3.840200
0.000395	4.020146
0.000398	4.201875
0.000401	4.384904
0.000403	4.568749
0.000405	4.752927
0.000408	4.936954
0.000410	5.120347
0.000413	5.302622
0.000416	5.483296
0.000419	5.661885
0.000422	5.839247
0.000426	6.016608
0.000429	6.193969
0.000433	6.371330
0.000436	6.548692
0.000440	6.726053
0.000443	6.903414
0.000447	7.080775
0.000450	7.258137
0.000454	7.435498
0.000457	7.612859
0.000461	7.790220
0.000464	7.967582
0.000468	8.144943
0.000471	8.322304
0.000475	8.499665
0.000478	8.677026
0.000481	8.854388
0.000485	9.031749
0.000488	9.209110
0.000492	9.386471
0.000495	9.563833
0.000499	9.741194
0.000502	9.918555
0.000506	10.095916
0.000509	10.273278
0.000513	10.450639
0.000516	10.628000
0.000520	10.805361
0.000523	10.982722
0.000527	11.160084
0.000530	11.337445
0.000534	11.514806
0.000537	11.692167
0.000541	11.869529
0.000544	12.046890
0.000548	12.224251
0.000551	12.401612
0.000555	12.578973
0.000558	12.756335
0.000562	12.933696
0.000565	13.111057
0.000568	13.288418
0.000572	13.465780
0.000575	13.643141
0.000579	13.820502
0.000582	13.997863
0.000586	14.175225
0.000589	14.352586
0.000593	14.529947
0.000596	14.707308
0.000600	14.884669
0.000603	15.062031
0.000607	15.239392
0.000610	15.416753
0.000614	15.594114
0.000617	15.771476
0.000621	15.948837
0.000624	16.126198
0.000628	16.303559
0.000631	16.480920
0.000635	16.658282
0.000638	16.835643
0.000642	17.013004
0.000645	17.190365
0.000648	17.367727
0.000652	17.545088
0.000655	17.722449
0.000659	17.899810
0.000662	18.077172
0.000666	18.254533
0.000669	18.431894
0.000673	18.609255
0.000676	18.786616
0.000680	18.963978
0.000683	19.141339
0.000687	19.318700
0.000690	19.496061
0.000694	19.673423
0.000697	19.850784
0.000701	20.028145
0.000704	20.205506
0.000708	20.382867
0.000711	20.560229
0.000715	20.737590
0.000718	20.914951
0.000722	21.092312
0.000725	21.269674
0.000729	21.447035
0.000732	21.624396
0.000735	21.801757
0.000739	21.979119
0.000742	22.156480
0.000746	22.333841
0.000749	22.511202
0.000753	22.688563
0.000756	22.865925
0.000760	23.043286
0.000763	23.220647
0.000767	23.398008
0.000770	23.575370
0.000774	23.752731
0.000777	23.930092
0.000781	24.107453
0.000784	24.284815
0.000788	24.462176
0.000791	24.639537
0.000795	24.816898
0.000798	24.994259
0.000802	25.171621
0.000805	25.348982
0.000809	25.526343
0.000812	25.703704
0.000815	25.881066
0.000819	26.058427
0.000822	26.235788
0.000826	26.413149
0.000829	26.590510
0.000833	26.767872
0.000836	26.945233
0.000840	27.122594
0.000843	27.299955
0.000847	27.477317
0.000850	27.654678
0.000854	27.832039
0.000857	28.009400
0.000861	28.186762
0.000864	28.364123
0.000868	28.541484
0.000871	28.718845
0.000875	28.896206
0.000878	29.073568
0.000882	29.250929
0.000885	29.428290
0.000889	29.605651
0.000892	29.783013
0.000896	29.960374
0.000899	30.137735
0.000902	30.315096
0.000906	30.492457
0.000909	30.669819
0.000913	30.847180
0.000916	31.024541
0.000920	31.201902
0.000923	31.379264
0.000927	31.556625
0.000930	31.733986
0.000934	31.911347
0.000937	32.088709
0.000941	32.266070
0.000944	32.443431
0.000948	32.620792
0.000951	32.798153
0.000955	32.975515
0.000958	33.152876
0.000962	33.330237
0.000965	33.507598
0.000969	33.684960
0.000972	33.862321
0.000976	34.039682
0.000979	34.217043
0.000982	34.394404
0.000986	34.571766
0.000989	34.749127
0.000993	34.926488
0.000996	35.103849
0.001000	35.281211
0.001003	35.458572
0.001007	35.635933
0.001010	35.813294
0.001014	35.990656
0.001017	36.168017
0.001021	36.345378
0.001024	36.522739
0.001028	36.700100
0.001031	36.877462
0.001035	37.054823
0.001038	37.232184
0.001042	37.409545
0.001045	37.586907
0.001049	37.764268
0.001052	37.941629
0.001056	38.118990
0.001059	38.296352
0.001063	38.473713
0.001066	38.651074
0.001069	38.828435
0.001073	39.005796
0.001076	39.183158
0.001080	39.360519
0.001083	39.537880
0.001087	39.715241
0.001090	39.892603
0.001094	40.069964
0.001097	40.247325
0.001101	40.424686
0.001104	40.602047
0.001108	40.779409
0.001111	40.956770
0.001115	41.134131
0.001118	41.311492
0.001122	41.488854
0.001125	41.666215
0.001129	41.843576
0.001132	42.020937
0.001136	42.198299
0.001139	42.375660
0.001143	42.553021
0.001146	42.730382
0.001150	42.907743
0.001153	43.085105
0.001156	43.262466
0.001160	43.439827
0.001163	43.617188
0.001167	43.794550
0.001170	43.971911
0.001174	44.149272
0.001177	44.326633
0.001181	44.503994
0.001184	44.681356
0.001188	44.858717
0.001191	45.036078
0.001195	45.213439
0.001198	45.390801
0.001202	45.568162
0.001205	45.745523
0.001209	45.922884
0.001212	46.100246
0.001216	46.277607
0.001219	46.454968
0.001223	46.632329
0.001226	46.809690
0.001230	46.987052
0.001233	47.164413
0.001236	47.341774
0.001240	47.519135
0.001243	47.696497
0.001247	47.873858
0.001250	48.051219
0.001254	48.228580
0.001257	48.405942
0.001261	48.583303
0.001264	48.760664
0.001268	48.938025
0.001271	49.115386
0.001275	49.292748
0.001278	49.470109
0.001282	49.647470
0.001285	49.824831
0.001289	50.002193
0.001292	50.179554
0.001296	50.356915
0.001299	50.534276
0.001303	50.711637
0.001306	50.888999
0.001310	51.066360
0.001313	51.243721
0.001317	51.421082
0.001320	51.598444
0.001323	51.775805
0.001327	51.953166
0.001330	52.130527
0.001334	52.307889
0.001337	52.485250
0.001341	52.662611
0.001344	52.839972
0.001348	53.017333
0.001351	53.194695
0.001355	53.372056
0.001358	53.549417
0.001362	53.726778
0.001365	53.904140
0.001369	54.081501
0.001372	54.258862
0.001376	54.436223
0.001379	54.613584
0.001383	54.790946
0.001386	54.968307
0.001390	55.145668
0.001393	55.323029
0.001397	55.500391
0.001400	55.677752
0.001403	55.855113
0.001407	56.032474
0.001410	56.209836
0.001414	56.387197
0.001417	56.564558
0.001421	56.741919
0.001424	56.919280
0.001428	57.096642
0.001431	57.274003
0.001435	57.451364
0.001438	57.628725
0.001442	57.806087
0.001445	57.983448
0.001449	58.160809
0.001452	58.338170
0.001456	58.515531
0.001459	58.692893
0.001463	58.870254
0.001466	59.047615
0.001470	59.224976
0.001473	59.402338
0.001477	59.579699
0.001480	59.757060
