# Sandbox Data | Context: 100 | Index: 3 | Label: {/:Italic {/Symbol {/:Italic s}}}_{3} = sigc-200 kPa
# Column_1: X_Axis	Column_2: Y_Axis
0.000000	0.737444
0.000561	0.737444
0.001125	0.737444
0.001692	0.737444
0.002263	0.737444
0.002839	0.737444
0.003420	0.737444
0.004008	0.737444
0.004602	0.737444
0.005205	0.737444
0.005815	0.737444
0.006435	0.737444
0.007065	0.737444
0.007705	0.737444
0.008356	0.737444
0.009020	0.737444
0.009696	0.737444
0.010385	0.737444
0.011089	0.737444
0.011807	0.737444
0.012541	0.737444
0.013292	0.737444
0.014059	0.737444
0.014847	0.737444
0.015657	0.737444
0.016488	0.737444
0.017337	0.737444
0.018201	0.737444
0.019079	0.737444
0.019967	0.737444
0.020863	0.737444
0.021765	0.737444
0.022671	0.737444
0.023578	0.737444
0.024483	0.737444
0.025385	0.737444
0.026281	0.737444
0.027168	0.737444
0.028045	0.737444
0.028915	0.737444
0.029784	0.737444
0.030653	0.737444
0.031522	0.737444
0.032390	0.737444
0.033257	0.737444
0.034124	0.737444
0.034991	0.737444
0.035857	0.737444
0.036722	0.737444
0.037587	0.737444
0.038452	0.737444
0.039316	0.737444
0.040179	0.737444
0.041042	0.737444
0.041905	0.737444
0.042767	0.737444
0.043628	0.737444
0.044489	0.737444
0.045350	0.737444
0.046209	0.737444
0.047069	0.737444
0.047928	0.737444
0.048786	0.737444
0.049644	0.737444
0.050502	0.737444
0.051359	0.737444
0.052215	0.737444
0.053071	0.737444
0.053927	0.737444
0.054781	0.737444
0.055636	0.737444
0.056490	0.737444
0.057343	0.737444
0.058196	0.737444
0.059049	0.737444
0.059901	0.737444
0.060752	0.737444
0.061603	0.737444
0.062454	0.737444
0.063304	0.737444
0.064153	0.739627
0.065002	0.746132
0.065851	0.754691
0.066699	0.763079
0.067547	0.771299
0.068394	0.786816
0.069240	0.809589
0.070086	0.824645
0.070932	0.832029
0.071777	0.839253
0.072622	0.853658
0.073466	0.875183
0.074310	0.889090
0.075153	0.895446
0.075995	0.901653
0.076838	0.914758
0.077679	0.934689
0.078521	0.947289
0.079361	0.952638
0.080202	0.957858
0.081041	0.969557
0.081881	0.987658
0.082720	0.998869
0.083558	1.003277
0.084396	1.007573
0.085233	1.017837
0.086070	1.033986
0.086906	1.043795
0.087742	1.047352
0.088578	1.050817
0.089413	1.059676
0.090247	1.073851
0.091081	1.082302
0.091915	1.085115
0.092748	1.092795
0.093580	1.105271
0.094413	1.112587
0.095244	1.114824
0.096075	1.117003
0.096906	1.123446
0.097736	1.134089
0.098566	1.140222
0.099395	1.141918
0.100224	1.143570
0.101052	1.148906
0.101880	1.157869
0.102707	1.162947
0.103534	1.164203
0.104361	1.168651
0.105187	1.176243
0.106012	1.180475
0.106837	1.181403
0.107662	1.185065
0.108486	1.191417
0.109309	1.194901
0.110132	1.195564
0.110955	1.196210
0.111777	1.199131
0.112599	1.204291
0.113420	1.207071
0.114241	1.207511
0.115061	1.209852
0.115881	1.214063
0.116701	1.216292
0.117520	1.218171
0.118338	1.221617
0.119156	1.223407
0.119974	1.223567
0.120791	1.225022
0.121607	1.227751
0.122423	1.229138
0.123239	1.229202
0.124054	1.230301
0.124869	1.232421
0.125683	1.233476
0.126497	1.234276
0.127310	1.235884
0.128123	1.236722
0.128936	1.237322
0.129748	1.238475
