# Sandbox Data | Context: 101 | Index: 1 | Label: Sim {/:Italic {/Symbol {/:Italic s}}}_{3} = sigc-50 kPa
# Column_1: X_Axis	Column_2: Y_Axis
0.026156	0.855302
0.052010	0.859457
0.077564	0.863432
0.102819	0.867226
0.127776	0.870834
0.152438	0.874254
0.176805	0.877484
0.200879	0.880520
0.224664	0.883362
0.248159	0.886008
0.271369	0.888456
0.294295	0.890707
0.316938	0.892759
0.339303	0.894612
0.361391	0.896267
0.383204	0.897723
0.404745	0.898981
0.426018	0.900042
0.447023	0.900907
0.467764	0.901576
0.488244	0.902052
0.508466	0.902336
0.528431	0.902430
0.548144	0.902334
0.567606	0.902052
0.586820	0.901586
0.605790	0.900937
0.624518	0.900109
0.643006	0.899103
0.661258	0.897922
0.679276	0.896569
0.697064	0.895047
0.714623	0.893358
0.731957	0.891506
0.749069	0.889493
0.765960	0.887323
0.782635	0.884997
0.799095	0.882521
0.815343	0.879896
0.831382	0.877126
0.847215	0.874213
0.862844	0.871162
0.878273	0.867976
0.893502	0.864657
0.908536	0.861209
0.923376	0.857636
0.938025	0.853940
0.952486	0.850125
0.966762	0.846193
0.980853	0.842149
0.994764	0.837995
1.008496	0.833735
1.022052	0.829372
1.035434	0.824908
1.048645	0.820349
1.061686	0.815695
1.074560	0.810950
1.087270	0.806118
1.099817	0.801200
1.112204	0.796200
1.124432	0.791123
1.136505	0.785972
1.148423	0.780747
1.160190	0.775453
1.171807	0.770091
1.183277	0.764669
1.194601	0.759183
1.205781	0.753637
1.216819	0.748035
1.227718	0.742380
1.238478	0.736673
1.249103	0.730918
1.259593	0.725117
1.269951	0.719273
1.280178	0.713388
1.290277	0.707463
1.300249	0.701503
1.310095	0.695508
1.319818	0.689481
1.329419	0.683424
1.338900	0.677340
1.348262	0.671230
1.357507	0.665096
1.366637	0.658941
1.375654	0.652766
1.384557	0.646574
1.393351	0.640365
1.402035	0.634142
1.410611	0.627908
1.419081	0.621662
1.427446	0.615408
1.435708	0.609146
1.443868	0.602879
1.451928	0.596607
1.459888	0.590333
1.467750	0.584058
1.475516	0.577783
1.483187	0.571510
1.490763	0.565239
