# Sandbox Data | Context: 100 | Index: 2 | Label: {/:Italic {/Symbol {/:Italic s}}}_{3} = sigc-100 kPa
# Column_1: X_Axis	Column_2: Y_Axis
0.000000	0.000000
0.000004	-0.000003
0.000007	-0.000007
0.000011	-0.000010
0.000015	-0.000013
0.000018	-0.000016
0.000022	-0.000019
0.000026	-0.000022
0.000029	-0.000024
0.000033	-0.000027
0.000037	-0.000029
0.000040	-0.000030
0.000044	-0.000032
0.000048	-0.000033
0.000051	-0.000034
0.000055	-0.000034
0.000059	-0.000034
0.000062	-0.000033
0.000066	-0.000031
0.000070	-0.000029
0.000073	-0.000026
0.000077	-0.000023
0.000081	-0.000019
0.000084	-0.000015
0.000088	-0.000011
0.000092	-0.000007
0.000095	-0.000003
0.000099	0.000002
0.000103	0.000006
0.000106	0.000010
0.000110	0.000015
0.000114	0.000019
0.000117	0.000022
0.000121	0.000026
0.000125	0.000029
0.000128	0.000032
0.000132	0.000035
0.000136	0.000039
0.000139	0.000042
0.000143	0.000045
0.000147	0.000049
0.000150	0.000052
0.000154	0.000055
0.000158	0.000059
0.000161	0.000062
0.000165	0.000065
0.000169	0.000069
0.000172	0.000072
0.000176	0.000075
0.000180	0.000079
0.000183	0.000082
0.000187	0.000085
0.000191	0.000089
0.000194	0.000092
0.000198	0.000095
0.000202	0.000099
0.000205	0.000102
0.000209	0.000105
0.000213	0.000109
0.000216	0.000112
0.000220	0.000115
0.000224	0.000118
0.000227	0.000122
0.000231	0.000125
0.000235	0.000128
0.000238	0.000132
0.000242	0.000135
0.000246	0.000138
0.000249	0.000142
0.000253	0.000145
0.000257	0.000148
0.000260	0.000152
0.000264	0.000155
0.000268	0.000158
0.000271	0.000162
0.000275	0.000165
0.000279	0.000168
0.000282	0.000172
0.000286	0.000175
0.000290	0.000178
0.000293	0.000182
0.000297	0.000185
0.000301	0.000188
0.000304	0.000192
0.000308	0.000195
0.000312	0.000198
0.000315	0.000201
0.000319	0.000205
0.000323	0.000208
0.000326	0.000211
0.000330	0.000215
0.000334	0.000218
0.000337	0.000221
0.000341	0.000225
0.000345	0.000228
0.000348	0.000231
0.000352	0.000235
0.000356	0.000238
0.000359	0.000241
0.000363	0.000245
0.000367	0.000248
0.000370	0.000251
0.000374	0.000255
0.000378	0.000258
0.000381	0.000261
0.000385	0.000265
0.000388	0.000268
0.000392	0.000271
0.000396	0.000275
0.000399	0.000278
0.000403	0.000281
0.000407	0.000284
0.000410	0.000288
0.000414	0.000291
0.000418	0.000294
0.000421	0.000298
0.000425	0.000301
0.000428	0.000304
0.000432	0.000308
0.000436	0.000311
0.000439	0.000314
0.000443	0.000318
0.000447	0.000321
0.000450	0.000324
0.000454	0.000328
0.000458	0.000331
0.000461	0.000334
0.000465	0.000338
0.000468	0.000341
0.000472	0.000344
0.000476	0.000348
0.000479	0.000351
0.000483	0.000354
0.000487	0.000358
0.000490	0.000361
0.000494	0.000364
0.000498	0.000367
0.000501	0.000371
0.000505	0.000374
0.000509	0.000377
0.000512	0.000381
0.000516	0.000384
0.000519	0.000387
0.000523	0.000391
0.000527	0.000394
0.000530	0.000397
0.000534	0.000401
0.000538	0.000404
0.000541	0.000407
0.000545	0.000411
0.000549	0.000414
0.000552	0.000417
0.000556	0.000421
0.000559	0.000424
0.000563	0.000427
0.000567	0.000431
0.000570	0.000434
0.000574	0.000437
0.000578	0.000441
0.000581	0.000444
0.000585	0.000447
0.000589	0.000450
0.000592	0.000454
0.000596	0.000457
0.000600	0.000460
0.000603	0.000464
0.000607	0.000467
0.000610	0.000470
0.000614	0.000474
0.000618	0.000477
0.000621	0.000480
0.000625	0.000484
0.000629	0.000487
0.000632	0.000490
0.000636	0.000494
0.000640	0.000497
0.000643	0.000500
0.000647	0.000504
0.000650	0.000507
0.000654	0.000510
0.000658	0.000514
0.000661	0.000517
0.000665	0.000520
0.000669	0.000524
0.000672	0.000527
0.000676	0.000530
0.000680	0.000533
0.000683	0.000537
0.000687	0.000540
0.000690	0.000543
0.000694	0.000547
0.000698	0.000550
0.000701	0.000553
0.000705	0.000557
0.000709	0.000560
0.000712	0.000563
0.000716	0.000567
0.000720	0.000570
0.000723	0.000573
0.000727	0.000577
0.000731	0.000580
0.000734	0.000583
0.000738	0.000587
0.000741	0.000590
0.000745	0.000593
0.000749	0.000597
0.000752	0.000600
0.000756	0.000603
0.000760	0.000607
0.000763	0.000610
0.000767	0.000613
0.000771	0.000616
0.000774	0.000620
0.000778	0.000623
0.000781	0.000626
0.000785	0.000630
0.000789	0.000633
0.000792	0.000636
0.000796	0.000640
0.000800	0.000643
0.000803	0.000646
0.000807	0.000650
0.000811	0.000653
0.000814	0.000656
0.000818	0.000660
0.000821	0.000663
0.000825	0.000666
0.000829	0.000670
0.000832	0.000673
0.000836	0.000676
0.000840	0.000680
0.000843	0.000683
0.000847	0.000686
0.000851	0.000690
0.000854	0.000693
0.000858	0.000696
0.000862	0.000699
0.000865	0.000703
0.000869	0.000706
0.000872	0.000709
0.000876	0.000713
0.000880	0.000716
0.000883	0.000719
0.000887	0.000723
0.000891	0.000726
0.000894	0.000729
0.000898	0.000733
0.000902	0.000736
0.000905	0.000739
0.000909	0.000743
0.000912	0.000746
0.000916	0.000749
0.000920	0.000753
0.000923	0.000756
0.000927	0.000759
0.000931	0.000763
0.000934	0.000766
0.000938	0.000769
0.000942	0.000773
0.000945	0.000776
0.000949	0.000779
0.000953	0.000782
0.000956	0.000786
0.000960	0.000789
0.000963	0.000792
0.000967	0.000796
0.000971	0.000799
0.000974	0.000802
0.000978	0.000806
0.000982	0.000809
0.000985	0.000812
0.000989	0.000816
0.000993	0.000819
0.000996	0.000822
0.001000	0.000826
0.001003	0.000829
0.001007	0.000832
0.001011	0.000836
0.001014	0.000839
0.001018	0.000842
0.001022	0.000846
0.001025	0.000849
0.001029	0.000852
0.001033	0.000856
0.001036	0.000859
0.001040	0.000862
0.001043	0.000865
0.001047	0.000869
0.001051	0.000872
0.001054	0.000875
0.001058	0.000879
0.001062	0.000882
0.001065	0.000885
0.001069	0.000889
0.001073	0.000892
0.001076	0.000895
0.001080	0.000899
0.001084	0.000902
0.001087	0.000905
0.001091	0.000909
0.001094	0.000912
0.001098	0.000915
0.001102	0.000919
0.001105	0.000922
0.001109	0.000925
0.001113	0.000929
0.001116	0.000932
0.001120	0.000935
0.001124	0.000939
0.001127	0.000942
0.001131	0.000945
0.001134	0.000948
0.001138	0.000952
0.001142	0.000955
0.001145	0.000958
0.001149	0.000962
0.001153	0.000965
0.001156	0.000968
0.001160	0.000972
0.001164	0.000975
0.001167	0.000978
0.001171	0.000982
0.001175	0.000985
0.001178	0.000988
0.001182	0.000992
0.001185	0.000995
0.001189	0.000998
0.001193	0.001002
0.001196	0.001005
0.001200	0.001008
0.001204	0.001012
0.001207	0.001015
0.001211	0.001018
0.001215	0.001022
0.001218	0.001025
0.001222	0.001028
0.001225	0.001031
0.001229	0.001035
0.001233	0.001038
0.001236	0.001041
0.001240	0.001045
0.001244	0.001048
0.001247	0.001051
0.001251	0.001055
0.001255	0.001058
0.001258	0.001061
0.001262	0.001065
0.001265	0.001068
0.001269	0.001071
0.001273	0.001075
0.001276	0.001078
0.001280	0.001081
0.001284	0.001085
0.001287	0.001088
0.001291	0.001091
0.001295	0.001095
0.001298	0.001098
0.001302	0.001101
0.001306	0.001105
0.001309	0.001108
0.001313	0.001111
0.001316	0.001114
0.001320	0.001118
0.001324	0.001121
0.001327	0.001124
0.001331	0.001128
0.001335	0.001131
0.001338	0.001134
0.001342	0.001138
0.001346	0.001141
0.001349	0.001144
0.001353	0.001148
0.001356	0.001151
0.001360	0.001154
0.001364	0.001158
0.001367	0.001161
0.001371	0.001164
0.001375	0.001168
0.001378	0.001171
0.001382	0.001174
0.001386	0.001178
0.001389	0.001181
0.001393	0.001184
0.001396	0.001188
0.001400	0.001191
0.001404	0.001194
0.001407	0.001197
0.001411	0.001201
