# Sandbox Data | Context: 101 | Index: 1 | Label: Sim CU-等围压排水三轴试验
# Column_1: X_Axis	Column_2: Y_Axis
0.000100	0.015073
0.000200	0.029912
0.000300	0.044511
0.000400	0.058866
0.000500	0.072976
0.000600	0.086839
0.000700	0.100455
0.000800	0.113826
0.000900	0.126953
0.001000	0.139837
0.001100	0.152481
0.001200	0.164890
0.001300	0.177066
0.001400	0.189013
0.001500	0.200735
0.001600	0.212237
0.001700	0.223523
0.001800	0.234598
0.001900	0.245466
0.002000	0.256133
0.002100	0.266603
0.002200	0.276881
0.002300	0.286972
0.002400	0.296880
0.002500	0.306610
0.002600	0.316166
0.002700	0.325553
0.002800	0.334776
0.002900	0.343838
0.003000	0.352745
0.003100	0.361499
0.003200	0.370105
0.003300	0.378567
0.003400	0.386889
0.003500	0.395074
0.003600	0.403126
0.003700	0.411048
0.003800	0.418843
0.003900	0.426515
0.004000	0.434068
0.004100	0.441503
0.004200	0.448824
0.004300	0.456034
0.004400	0.463136
0.004500	0.470131
0.004600	0.477024
0.004700	0.483815
0.004800	0.490509
0.004900	0.497106
0.005000	0.503610
0.005100	0.510022
0.005200	0.516345
0.005300	0.522580
0.005400	0.528731
0.005500	0.534797
0.005600	0.540782
0.005700	0.546688
0.005800	0.552515
0.005900	0.558266
0.006000	0.563943
0.006100	0.569546
0.006200	0.575078
0.006300	0.580540
0.006400	0.585933
0.006500	0.591259
0.006600	0.596519
0.006700	0.601715
0.006800	0.606848
0.006900	0.611918
0.007000	0.616928
0.007100	0.621879
0.007200	0.626771
0.007300	0.631606
0.007400	0.636384
0.007500	0.641108
0.007600	0.645777
0.007700	0.650393
0.007800	0.654957
0.007900	0.659470
0.008000	0.663932
0.008100	0.668345
0.008200	0.672710
0.008300	0.677027
0.008400	0.681297
0.008500	0.685521
0.008600	0.689699
0.008700	0.693833
0.008800	0.697923
0.008900	0.701971
0.009000	0.705975
0.009100	0.709939
0.009200	0.713861
0.009300	0.717742
0.009400	0.721585
0.009500	0.725388
0.009600	0.729152
0.009700	0.732879
0.009800	0.736568
0.009900	0.740221
0.010000	0.743837
0.010100	0.747418
0.010200	0.750963
0.010300	0.754474
0.010400	0.757951
0.010500	0.761395
0.010600	0.764805
0.010700	0.768183
0.010800	0.771528
0.010900	0.774842
0.011000	0.778124
0.011100	0.781376
