# Sandbox Data | Context: 101 | Index: 3 | Label: Sim CD-等{/:Italic p}排水三轴试验
# Column_1: X_Axis	Column_2: Y_Axis
0.000100	0.020167
0.000200	0.040139
0.000300	0.059882
0.000400	0.079368
0.000500	0.098574
0.000600	0.117481
0.000700	0.136073
0.000800	0.154338
0.000900	0.172270
0.001000	0.189861
0.001100	0.207110
0.001200	0.224017
0.001300	0.240582
0.001400	0.256810
0.001500	0.272704
0.001600	0.288270
0.001700	0.303514
0.001800	0.318444
0.001900	0.333067
0.002000	0.347391
0.002100	0.361423
0.002200	0.375172
0.002300	0.388646
0.002400	0.401854
0.002500	0.414802
0.002600	0.427499
0.002700	0.439953
0.002800	0.452170
0.002900	0.464160
0.003000	0.475927
0.003100	0.487480
0.003200	0.498824
0.003300	0.509967
0.003400	0.520914
0.003500	0.531671
0.003600	0.542244
0.003700	0.552638
0.003800	0.562859
0.003900	0.572912
0.004000	0.582801
0.004100	0.592531
0.004200	0.602106
0.004300	0.611532
0.004400	0.620811
0.004500	0.629949
0.004600	0.638947
0.004700	0.647812
0.004800	0.656545
0.004900	0.665150
0.005000	0.673630
0.005100	0.681989
0.005200	0.690230
0.005300	0.698354
0.005400	0.706366
0.005500	0.714267
0.005600	0.722061
0.005700	0.729750
0.005800	0.737335
0.005900	0.744820
0.006000	0.752206
0.006100	0.759496
0.006200	0.766692
0.006300	0.773796
0.006400	0.780809
0.006500	0.787733
0.006600	0.794571
0.006700	0.801324
0.006800	0.807993
0.006900	0.814581
0.007000	0.821088
0.007100	0.827517
0.007200	0.833869
0.007300	0.840144
0.007400	0.846345
0.007500	0.852473
0.007600	0.858529
0.007700	0.864514
0.007800	0.870430
0.007900	0.876278
0.008000	0.882059
0.008100	0.887773
0.008200	0.893423
0.008300	0.899009
0.008400	0.904531
0.008500	0.909992
0.008600	0.915392
0.008700	0.920732
0.008800	0.926013
0.008900	0.931236
0.009000	0.936401
0.009100	0.941510
0.009200	0.946563
0.009300	0.951562
0.009400	0.956506
0.009500	0.961396
0.009600	0.966234
0.009700	0.971021
0.009800	0.975756
0.009900	0.980440
0.010000	0.985075
0.010100	0.989660
0.010200	0.994197
0.010300	0.998686
0.010400	1.003127
0.010500	1.007522
0.010600	1.011871
0.010700	1.016174
0.010800	1.020432
0.010900	1.024646
0.011000	1.028816
0.011100	1.032942
0.011200	1.037025
0.011300	1.041066
0.011400	1.045066
0.011500	1.049023
0.011600	1.052940
0.011700	1.056817
0.011800	1.060653
0.011900	1.064450
0.012000	1.068208
0.012100	1.071927
0.012200	1.075607
0.012300	1.079250
0.012400	1.082856
0.012500	1.086424
0.012600	1.089956
0.012700	1.093452
0.012800	1.096911
0.012900	1.100335
0.013000	1.103724
0.013100	1.107079
0.013200	1.110398
0.013300	1.113684
0.013400	1.116936
0.013500	1.120155
0.013600	1.123340
0.013700	1.126493
0.013800	1.129614
0.013900	1.132702
0.014000	1.135759
0.014100	1.138784
0.014200	1.141778
0.014300	1.144741
0.014400	1.147674
0.014500	1.150576
0.014600	1.153448
0.014700	1.156291
0.014800	1.159104
0.014900	1.161888
0.015000	1.164643
0.015100	1.167370
0.015200	1.170068
0.015300	1.172738
0.015400	1.175381
