# Sandbox Data | Context: 101 | Index: 3 | Label: Sim {/:Italic {/Symbol {/:Italic s}}}_{3} = sigc-200 kPa
# Column_1: X_Axis	Column_2: Y_Axis
0.020842	1.830979
0.041157	1.850727
0.060960	1.867749
0.080268	1.882218
0.099097	1.894306
0.117462	1.904182
0.135379	1.912011
0.152863	1.917951
0.169930	1.922153
0.186594	1.924761
0.202869	1.925909
0.218768	1.925724
0.234305	1.924326
0.249493	1.921824
0.264343	1.918322
0.278868	1.913914
0.293079	1.908688
0.306986	1.902726
0.320601	1.896101
0.333932	1.888883
0.346990	1.881133
0.359784	1.872911
0.372322	1.864268
0.384614	1.855253
0.396666	1.845910
0.408487	1.836280
0.420085	1.826398
0.431465	1.816298
0.442636	1.806012
0.453603	1.795566
0.464373	1.784986
0.474952	1.774294
0.485345	1.763513
0.495559	1.752660
0.505598	1.741753
0.515467	1.730807
0.525172	1.719837
0.534717	1.708855
0.544106	1.697873
0.553344	1.686902
0.562435	1.675949
0.571384	1.665025
0.580193	1.654137
0.588867	1.643291
0.597409	1.632494
0.605822	1.621751
0.614111	1.611068
0.622278	1.600447
0.630326	1.589894
0.638258	1.579411
0.646077	1.569002
0.653786	1.558670
0.661388	1.548416
0.668884	1.538242
0.676278	1.528151
0.683573	1.518143
0.690769	1.508221
0.697870	1.498384
0.704878	1.488634
0.711795	1.478971
0.718622	1.469396
0.725363	1.459909
0.732018	1.450510
0.738590	1.441199
0.745080	1.431977
0.751490	1.422843
0.757823	1.413797
0.764078	1.404839
0.770259	1.395967
0.776367	1.387183
0.782402	1.378485
0.788367	1.369872
0.794263	1.361345
0.800092	1.352902
0.805854	1.344544
0.811551	1.336268
0.817184	1.328075
0.822754	1.319963
0.828263	1.311932
0.833712	1.303981
0.839102	1.296110
0.844434	1.288317
0.849709	1.280601
0.854928	1.272963
0.860092	1.265400
0.865202	1.257912
0.870259	1.250499
0.875264	1.243159
0.880218	1.235891
0.885122	1.228695
0.889976	1.221570
0.894782	1.214514
0.899540	1.207528
0.904251	1.200610
0.908916	1.193759
0.913536	1.186974
0.918111	1.180256
0.922642	1.173602
0.927130	1.167012
0.931575	1.160485
0.935979	1.154021
0.940341	1.147619
0.944663	1.141277
0.948945	1.134995
0.953188	1.128773
0.957392	1.122609
0.961558	1.116502
0.965686	1.110453
0.969778	1.104460
0.973833	1.098523
0.977852	1.092640
0.981837	1.086812
0.985786	1.081036
0.989701	1.075314
0.993582	1.069644
0.997430	1.064025
1.001245	1.058457
1.005027	1.052938
1.008778	1.047470
1.012498	1.042050
1.016186	1.036678
1.019844	1.031353
1.023471	1.026076
1.027069	1.020845
1.030637	1.015660
1.034177	1.010520
1.037687	1.005424
1.041170	1.000373
1.044625	0.995365
1.048052	0.990399
1.051452	0.985477
1.054826	0.980596
1.058173	0.975756
1.061494	0.970958
1.064789	0.966199
1.068059	0.961481
1.071304	0.956802
1.074524	0.952161
1.077720	0.947559
1.080891	0.942995
1.084039	0.938469
1.087163	0.933979
1.090264	0.929526
1.093342	0.925109
1.096397	0.920728
1.099429	0.916382
1.102440	0.912070
1.105428	0.907793
1.108395	0.903550
1.111341	0.899341
1.114265	0.895165
1.117169	0.891022
1.120051	0.886911
1.122914	0.882832
1.125756	0.878785
1.128578	0.874769
1.131381	0.870784
1.134164	0.866829
1.136927	0.862905
1.139672	0.859011
1.142398	0.855146
1.145105	0.851311
1.147793	0.847504
1.150464	0.843726
1.153116	0.839976
1.155751	0.836254
1.158368	0.832560
1.160967	0.828892
1.163549	0.825252
1.166114	0.821639
1.168662	0.818052
1.171194	0.814491
1.173708	0.810956
1.176207	0.807446
1.178689	0.803962
1.181155	0.800503
1.183605	0.797068
1.186040	0.793658
1.188459	0.790272
1.190862	0.786910
1.193251	0.783572
1.195624	0.780257
1.197982	0.776965
1.200326	0.773696
1.202654	0.770450
1.204969	0.767226
1.207269	0.764025
1.209554	0.760845
1.211826	0.757688
1.214084	0.754552
1.216327	0.751437
1.218558	0.748343
1.220774	0.745270
1.222978	0.742218
1.225168	0.739187
1.227344	0.736175
1.229508	0.733184
1.231659	0.730212
1.233797	0.727261
1.235922	0.724328
1.238035	0.721415
1.240136	0.718521
1.242224	0.715646
1.244299	0.712790
1.246363	0.709952
1.248415	0.707132
1.250455	0.704331
1.252483	0.701547
1.254499	0.698782
1.256504	0.696034
1.258497	0.693303
1.260480	0.690590
1.262450	0.687894
1.264410	0.685215
1.266358	0.682553
1.268296	0.679907
1.270223	0.677278
1.272139	0.674665
1.274044	0.672069
1.275939	0.669488
1.277823	0.666924
1.279697	0.664375
1.281560	0.661842
1.283413	0.659324
1.285256	0.656822
1.287089	0.654334
1.288912	0.651862
1.290726	0.649405
1.292529	0.646962
1.294323	0.644534
1.296107	0.642121
1.297881	0.639722
1.299646	0.637337
1.301402	0.634967
1.303148	0.632610
1.304885	0.630267
1.306612	0.627938
1.308331	0.625623
1.310041	0.623321
1.311741	0.621033
1.313433	0.618757
1.315116	0.616495
1.316790	0.614246
1.318456	0.612010
1.320113	0.609787
1.321761	0.607577
1.323401	0.605379
1.325033	0.603193
1.326656	0.601020
1.328271	0.598860
1.329878	0.596711
1.331476	0.594575
1.333067	0.592450
1.334649	0.590338
1.336224	0.588237
1.337790	0.586148
1.339349	0.584070
1.340900	0.582004
1.342443	0.579950
1.343979	0.577906
1.345507	0.575874
1.347027	0.573853
1.348540	0.571843
1.350046	0.569844
1.351544	0.567856
1.353035	0.565879
1.354518	0.563912
1.355995	0.561956
1.357464	0.560011
1.358926	0.558075
1.360381	0.556151
1.361829	0.554236
1.363270	0.552332
1.364704	0.550437
1.366131	0.548553
1.367552	0.546679
1.368965	0.544814
1.370372	0.542960
1.371772	0.541115
1.373166	0.539279
1.374553	0.537454
1.375934	0.535637
1.377308	0.533830
1.378676	0.532033
1.380037	0.530245
1.381392	0.528466
1.382741	0.526696
1.384083	0.524935
1.385419	0.523183
1.386749	0.521440
1.388073	0.519706
1.389391	0.517981
1.390703	0.516264
1.392008	0.514556
1.393308	0.512857
1.394602	0.511166
1.395890	0.509484
1.397172	0.507810
1.398449	0.506145
1.399719	0.504488
1.400984	0.502839
1.402243	0.501198
1.403497	0.499565
1.404745	0.497940
1.405987	0.496324
1.407224	0.494715
1.408456	0.493114
1.409682	0.491521
1.410902	0.489936
1.412117	0.488358
1.413327	0.486788
1.414531	0.485226
1.415730	0.483671
1.416924	0.482124
1.418113	0.480584
1.419296	0.479051
1.420475	0.477526
1.421648	0.476008
1.422816	0.474497
1.423979	0.472994
1.425137	0.471498
1.426290	0.470008
1.427438	0.468526
1.428582	0.467051
1.429720	0.465583
1.430853	0.464121
1.431982	0.462666
1.433106	0.461219
1.434225	0.459778
1.435339	0.458343
1.436449	0.456916
1.437554	0.455495
1.438654	0.454080
1.439749	0.452672
1.440841	0.451271
1.441927	0.449875
1.443009	0.448487
1.444086	0.447104
1.445159	0.445728
1.446228	0.444359
1.447292	0.442995
1.448351	0.441638
1.449407	0.440287
1.450458	0.438942
1.451504	0.437602
1.452546	0.436269
1.453584	0.434942
1.454618	0.433621
1.455648	0.432306
1.456673	0.430997
1.457694	0.429693
1.458711	0.428396
1.459724	0.427104
1.460733	0.425818
1.461738	0.424537
1.462738	0.423262
1.463735	0.421993
1.464728	0.420729
1.465716	0.419471
1.466701	0.418218
1.467682	0.416971
1.468659	0.415729
1.469632	0.414493
1.470601	0.413262
1.471566	0.412036
1.472528	0.410816
1.473485	0.409601
1.474439	0.408391
1.475390	0.407186
1.476336	0.405987
1.477279	0.404792
1.478218	0.403603
1.479153	0.402419
1.480085	0.401240
1.481013	0.400066
1.481937	0.398896
1.482858	0.397732
1.483775	0.396573
1.484689	0.395418
1.485599	0.394269
1.486506	0.393124
1.487409	0.391984
1.488309	0.390849
1.489205	0.389719
1.490098	0.388593
1.490987	0.387472
1.491873	0.386356
1.492756	0.385244
1.493635	0.384137
1.494511	0.383034
1.495384	0.381936
1.496253	0.380843
1.497120	0.379754
1.497982	0.378670
1.498842	0.377589
1.499698	0.376514
1.500551	0.375443
1.501401	0.374376
1.502248	0.373313
1.503092	0.372255
1.503932	0.371201
1.504769	0.370151
1.505603	0.369106
1.506435	0.368065
1.507263	0.367028
1.508088	0.365995
1.508909	0.364966
1.509728	0.363942
1.510544	0.362921
1.511357	0.361905
1.512167	0.360892
1.512974	0.359884
1.513778	0.358880
1.514579	0.357879
1.515377	0.356883
1.516172	0.355890
1.516964	0.354902
1.517754	0.353917
1.518540	0.352936
1.519324	0.351959
1.520105	0.350986
1.520883	0.350017
1.521658	0.349052
1.522431	0.348090
1.523201	0.347132
1.523968	0.346177
1.524732	0.345227
1.525493	0.344280
1.526252	0.343337
1.527008	0.342397
1.527761	0.341461
